2023-01-10 21:16:56 INFO  WebDriverEvents:47 - navigating to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 20:08:33 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-password
2023-01-11 20:08:33 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: input.btn
2023-01-11 20:08:33 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: input.btn
2023-01-11 20:08:33 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (6ef5c2dafc589ac7b0063fb93f5f43a5)] -> css selector: input.btn]
2023-01-11 20:08:34 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (6ef5c2dafc589ac7b0063fb93f5f43a5)] -> css selector: input.btn]
2023-01-11 20:08:34 INFO  WebDriverEvents:98 - Finding Element By.xpath: //h2[text()='My Account']
2023-01-11 20:08:34 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //h2[text()='My Account']
2023-01-11 20:08:34 INFO  WebDriverEvents:180 - Switching to window text from [[EdgeDriver: msedge on WINDOWS (6ef5c2dafc589ac7b0063fb93f5f43a5)] -> xpath: //h2[text()='My Account']]
2023-01-11 20:08:34 INFO  WebDriverEvents:187 - Switched to window text from  [[EdgeDriver: msedge on WINDOWS (6ef5c2dafc589ac7b0063fb93f5f43a5)] -> xpath: //h2[text()='My Account']]
2023-01-11 20:08:34 INFO  WebDriverEvents:98 - Finding Element By.xpath: //a[text()="Edit your account information"]
2023-01-11 20:08:34 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //a[text()="Edit your account information"]
2023-01-11 20:08:34 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (6ef5c2dafc589ac7b0063fb93f5f43a5)] -> xpath: //a[text()="Edit your account information"]]
2023-01-11 20:08:35 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (6ef5c2dafc589ac7b0063fb93f5f43a5)] -> xpath: //a[text()="Edit your account information"]]
2023-01-11 20:08:35 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #content h1
2023-01-11 20:08:35 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #content h1
2023-01-11 20:08:35 INFO  WebDriverEvents:180 - Switching to window text from [[EdgeDriver: msedge on WINDOWS (6ef5c2dafc589ac7b0063fb93f5f43a5)] -> css selector: #content h1]
2023-01-11 20:08:35 INFO  WebDriverEvents:187 - Switched to window text from  [[EdgeDriver: msedge on WINDOWS (6ef5c2dafc589ac7b0063fb93f5f43a5)] -> css selector: #content h1]
2023-01-11 20:08:35 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-firstname
2023-01-11 20:08:35 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-firstname
2023-01-11 20:08:35 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-lastname
2023-01-11 20:08:35 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-lastname
2023-01-11 20:08:35 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-email
2023-01-11 20:08:35 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-email
2023-01-11 20:08:35 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-telephone
2023-01-11 20:08:35 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-telephone
2023-01-11 20:08:35 INFO  CustomListener:22 - Test execution has passed for : loginVerify
2023-01-11 20:08:38 INFO  WebDriverEvents:47 - navigating to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 20:08:41 INFO  WebDriverEvents:54 - Navigated to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 20:08:41 INFO  CustomListener:17 - Test execution has started for: testSomething
2023-01-11 20:08:41 INFO  WebDriverEvents:47 - navigating to https://www.theweathernetwork.com/ca
2023-01-11 20:08:43 INFO  WebDriverEvents:54 - Navigated to https://www.theweathernetwork.com/ca
2023-01-11 20:08:43 INFO  RetryLogic:20 - Running a failed test 1 times
2023-01-11 20:08:47 INFO  WebDriverEvents:47 - navigating to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 20:08:50 INFO  WebDriverEvents:54 - Navigated to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 20:08:50 INFO  CustomListener:17 - Test execution has started for: testSomething
2023-01-11 20:08:50 INFO  WebDriverEvents:47 - navigating to https://www.theweathernetwork.com/ca
2023-01-11 20:09:01 INFO  WebDriverEvents:54 - Navigated to https://www.theweathernetwork.com/ca
2023-01-11 20:09:01 INFO  RetryLogic:20 - Running a failed test 2 times
2023-01-11 20:09:04 INFO  WebDriverEvents:47 - navigating to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 20:09:07 INFO  WebDriverEvents:54 - Navigated to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 20:09:07 INFO  CustomListener:17 - Test execution has started for: testSomething
2023-01-11 20:09:07 INFO  WebDriverEvents:47 - navigating to https://www.theweathernetwork.com/ca
2023-01-11 20:09:09 INFO  WebDriverEvents:54 - Navigated to https://www.theweathernetwork.com/ca
2023-01-11 20:09:09 INFO  RetryLogic:20 - Running a failed test 3 times
2023-01-11 20:09:11 INFO  WebDriverEvents:47 - navigating to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 20:09:14 INFO  WebDriverEvents:54 - Navigated to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 20:09:14 INFO  CustomListener:17 - Test execution has started for: testSomething
2023-01-11 20:09:14 INFO  WebDriverEvents:47 - navigating to https://www.theweathernetwork.com/ca
2023-01-11 20:09:25 INFO  WebDriverEvents:54 - Navigated to https://www.theweathernetwork.com/ca
2023-01-11 20:09:25 ERROR CustomListener:28 - Test execution failed and taking screen shot: testSomething
2023-01-11 20:10:54 INFO  WebDriverEvents:47 - navigating to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 20:10:57 INFO  WebDriverEvents:54 - Navigated to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 20:10:57 INFO  CustomListener:17 - Test execution has started for: loginVerify
2023-01-11 20:10:57 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: li.dropdown span:first-of-type
2023-01-11 20:10:57 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: li.dropdown span:first-of-type
2023-01-11 20:10:57 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (51895cc09197dd0356917b17ac414e08)] -> css selector: li.dropdown span:first-of-type]
2023-01-11 20:10:57 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (51895cc09197dd0356917b17ac414e08)] -> css selector: li.dropdown span:first-of-type]
2023-01-11 20:10:57 INFO  WebDriverEvents:98 - Finding Element By.xpath: //a[text()='Login']
2023-01-11 20:10:57 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //a[text()='Login']
2023-01-11 20:10:57 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (51895cc09197dd0356917b17ac414e08)] -> xpath: //a[text()='Login']]
2023-01-11 20:10:58 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (51895cc09197dd0356917b17ac414e08)] -> xpath: //a[text()='Login']]
2023-01-11 20:10:58 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-email
2023-01-11 20:10:58 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-email
2023-01-11 20:10:58 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-password
2023-01-11 20:10:58 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-password
2023-01-11 20:10:58 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: input.btn
2023-01-11 20:10:58 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: input.btn
2023-01-11 20:10:58 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (51895cc09197dd0356917b17ac414e08)] -> css selector: input.btn]
2023-01-11 20:10:59 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (51895cc09197dd0356917b17ac414e08)] -> css selector: input.btn]
2023-01-11 20:10:59 INFO  WebDriverEvents:98 - Finding Element By.xpath: //h2[text()='My Account']
2023-01-11 20:10:59 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //h2[text()='My Account']
2023-01-11 20:10:59 INFO  WebDriverEvents:180 - Switching to window text from [[EdgeDriver: msedge on WINDOWS (51895cc09197dd0356917b17ac414e08)] -> xpath: //h2[text()='My Account']]
2023-01-11 20:10:59 INFO  WebDriverEvents:187 - Switched to window text from  [[EdgeDriver: msedge on WINDOWS (51895cc09197dd0356917b17ac414e08)] -> xpath: //h2[text()='My Account']]
2023-01-11 20:10:59 INFO  WebDriverEvents:98 - Finding Element By.xpath: //a[text()="Edit your account information"]
2023-01-11 20:10:59 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //a[text()="Edit your account information"]
2023-01-11 20:10:59 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (51895cc09197dd0356917b17ac414e08)] -> xpath: //a[text()="Edit your account information"]]
2023-01-11 20:11:00 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (51895cc09197dd0356917b17ac414e08)] -> xpath: //a[text()="Edit your account information"]]
2023-01-11 20:11:00 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #content h1
2023-01-11 20:11:00 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #content h1
2023-01-11 20:11:00 INFO  WebDriverEvents:180 - Switching to window text from [[EdgeDriver: msedge on WINDOWS (51895cc09197dd0356917b17ac414e08)] -> css selector: #content h1]
2023-01-11 20:11:00 INFO  WebDriverEvents:187 - Switched to window text from  [[EdgeDriver: msedge on WINDOWS (51895cc09197dd0356917b17ac414e08)] -> css selector: #content h1]
2023-01-11 20:11:00 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-firstname
2023-01-11 20:11:00 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-firstname
2023-01-11 20:11:00 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-lastname
2023-01-11 20:11:00 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-lastname
2023-01-11 20:11:00 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-email
2023-01-11 20:11:00 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-email
2023-01-11 20:11:00 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-telephone
2023-01-11 20:11:00 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-telephone
2023-01-11 20:11:00 INFO  CustomListener:22 - Test execution has passed for : loginVerify
2023-01-11 20:11:04 INFO  WebDriverEvents:47 - navigating to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 20:11:07 INFO  WebDriverEvents:54 - Navigated to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 20:11:07 INFO  CustomListener:17 - Test execution has started for: loginVerify
2023-01-11 20:11:07 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: li.dropdown span:first-of-type
2023-01-11 20:11:07 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: li.dropdown span:first-of-type
2023-01-11 20:11:07 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (22d92f2ab688fab23f8cc24b098ec662)] -> css selector: li.dropdown span:first-of-type]
2023-01-11 20:11:07 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (22d92f2ab688fab23f8cc24b098ec662)] -> css selector: li.dropdown span:first-of-type]
2023-01-11 20:11:07 INFO  WebDriverEvents:98 - Finding Element By.xpath: //a[text()='Login']
2023-01-11 20:11:07 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //a[text()='Login']
2023-01-11 20:11:07 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (22d92f2ab688fab23f8cc24b098ec662)] -> xpath: //a[text()='Login']]
2023-01-11 20:11:07 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (22d92f2ab688fab23f8cc24b098ec662)] -> xpath: //a[text()='Login']]
2023-01-11 20:11:07 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-email
2023-01-11 20:11:07 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-email
2023-01-11 20:11:08 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-password
2023-01-11 20:11:08 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-password
2023-01-11 20:11:08 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: input.btn
2023-01-11 20:11:08 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: input.btn
2023-01-11 20:11:08 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (22d92f2ab688fab23f8cc24b098ec662)] -> css selector: input.btn]
2023-01-11 20:11:09 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (22d92f2ab688fab23f8cc24b098ec662)] -> css selector: input.btn]
2023-01-11 20:11:09 INFO  WebDriverEvents:98 - Finding Element By.xpath: //h2[text()='My Account']
2023-01-11 20:11:09 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //h2[text()='My Account']
2023-01-11 20:11:09 INFO  WebDriverEvents:180 - Switching to window text from [[EdgeDriver: msedge on WINDOWS (22d92f2ab688fab23f8cc24b098ec662)] -> xpath: //h2[text()='My Account']]
2023-01-11 20:11:09 INFO  WebDriverEvents:187 - Switched to window text from  [[EdgeDriver: msedge on WINDOWS (22d92f2ab688fab23f8cc24b098ec662)] -> xpath: //h2[text()='My Account']]
2023-01-11 20:11:09 INFO  WebDriverEvents:98 - Finding Element By.xpath: //a[text()="Edit your account information"]
2023-01-11 20:11:09 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //a[text()="Edit your account information"]
2023-01-11 20:11:09 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (22d92f2ab688fab23f8cc24b098ec662)] -> xpath: //a[text()="Edit your account information"]]
2023-01-11 20:11:10 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (22d92f2ab688fab23f8cc24b098ec662)] -> xpath: //a[text()="Edit your account information"]]
2023-01-11 20:11:10 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #content h1
2023-01-11 20:11:10 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #content h1
2023-01-11 20:11:10 INFO  WebDriverEvents:180 - Switching to window text from [[EdgeDriver: msedge on WINDOWS (22d92f2ab688fab23f8cc24b098ec662)] -> css selector: #content h1]
2023-01-11 20:11:10 INFO  WebDriverEvents:187 - Switched to window text from  [[EdgeDriver: msedge on WINDOWS (22d92f2ab688fab23f8cc24b098ec662)] -> css selector: #content h1]
2023-01-11 20:11:10 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-firstname
2023-01-11 20:11:10 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-firstname
2023-01-11 20:11:10 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-lastname
2023-01-11 20:11:10 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-lastname
2023-01-11 20:11:10 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-email
2023-01-11 20:11:10 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-email
2023-01-11 20:11:10 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-telephone
2023-01-11 20:11:10 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-telephone
2023-01-11 20:11:10 INFO  CustomListener:22 - Test execution has passed for : loginVerify
2023-01-11 20:11:13 INFO  WebDriverEvents:47 - navigating to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 20:11:16 INFO  WebDriverEvents:54 - Navigated to https://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 20:11:16 INFO  CustomListener:17 - Test execution has started for: loginVerify
2023-01-11 20:11:16 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: li.dropdown span:first-of-type
2023-01-11 20:11:16 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: li.dropdown span:first-of-type
2023-01-11 20:11:16 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (2f68ebd2a4006b8b6f35821b094beabe)] -> css selector: li.dropdown span:first-of-type]
2023-01-11 20:11:16 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (2f68ebd2a4006b8b6f35821b094beabe)] -> css selector: li.dropdown span:first-of-type]
2023-01-11 20:11:16 INFO  WebDriverEvents:98 - Finding Element By.xpath: //a[text()='Login']
2023-01-11 20:11:16 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //a[text()='Login']
2023-01-11 20:11:16 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (2f68ebd2a4006b8b6f35821b094beabe)] -> xpath: //a[text()='Login']]
2023-01-11 20:11:17 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (2f68ebd2a4006b8b6f35821b094beabe)] -> xpath: //a[text()='Login']]
2023-01-11 20:11:17 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-email
2023-01-11 20:11:17 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-email
2023-01-11 20:11:17 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #input-password
2023-01-11 20:11:17 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #input-password
2023-01-11 20:11:17 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: input.btn
2023-01-11 20:11:17 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: input.btn
2023-01-11 20:11:17 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (2f68ebd2a4006b8b6f35821b094beabe)] -> css selector: input.btn]
2023-01-11 20:11:18 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (2f68ebd2a4006b8b6f35821b094beabe)] -> css selector: input.btn]
2023-01-11 20:11:18 INFO  WebDriverEvents:98 - Finding Element By.xpath: //h2[text()='My Account']
2023-01-11 20:11:18 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //h2[text()='My Account']
2023-01-11 20:11:18 INFO  WebDriverEvents:180 - Switching to window text from [[EdgeDriver: msedge on WINDOWS (2f68ebd2a4006b8b6f35821b094beabe)] -> xpath: //h2[text()='My Account']]
2023-01-11 20:11:18 INFO  WebDriverEvents:187 - Switched to window text from  [[EdgeDriver: msedge on WINDOWS (2f68ebd2a4006b8b6f35821b094beabe)] -> xpath: //h2[text()='My Account']]
2023-01-11 20:11:18 INFO  WebDriverEvents:98 - Finding Element By.xpath: //a[text()="Edit your account information"]
2023-01-11 20:11:18 INFO  WebDriverEvents:105 - Element FoundBy.xpath: //a[text()="Edit your account information"]
2023-01-11 20:11:18 INFO  WebDriverEvents:112 - Clicking on[[EdgeDriver: msedge on WINDOWS (2f68ebd2a4006b8b6f35821b094beabe)] -> xpath: //a[text()="Edit your account information"]]
2023-01-11 20:11:19 INFO  WebDriverEvents:119 - Clicked on[[EdgeDriver: msedge on WINDOWS (2f68ebd2a4006b8b6f35821b094beabe)] -> xpath: //a[text()="Edit your account information"]]
2023-01-11 20:11:19 INFO  WebDriverEvents:98 - Finding Element By.cssSelector: #content h1
2023-01-11 20:11:19 INFO  WebDriverEvents:105 - Element FoundBy.cssSelector: #content h1
2023-01-11 20:11:19 INFO  WebDriverEvents:180 - Switching to window text from [[EdgeDriver: msedge on WINDOWS (2f68ebd2a4006b8b6f35821b094beabe)] -> css selector: #content h1]
2023-01-11 20:11:19 INFO  WebDriverEvents:187 - Switched to window text from  [[EdgeDriver: msedge on WINDOWS (2f68ebd2a4006b8b6f35821b094beabe)] -> css selector: #content h1]
